FIGHTER 1,HEIGHT 1,WEIGHT 1,REACH 1,STANCE 1,DATE OF BIRTH 1,SIGNIFICANT STRIKES LANDED PER MINUTE 1,SIGNIFICANT STRIKING ACCURACY 1,SIGNIFICANT STRIKES ABSORBED PER MINUTE 1,SIGNIFICANT STRIKE DEFENCE 1,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 1,TAKE DOWN ACCURACY 1,TAKEDOWN DEFENSE 1,AVERAGE SUBMISSIONS 1,WIN/LOSS PERCENTAGE 1,WINS 1,LOSSES 1,DRAWS 1,NO CONTESTS 1,FIGHTER 2,HEIGHT 2,WEIGHT 2,REACH 2,STANCE 2,DATE OF BIRTH 2,SIGNIFICANT STRIKES LANDED PER MINUTE 2,SIGNIFICANT STRIKING ACCURACY 2,SIGNIFICANT STRIKES ABSORBED PER MINUTE 2,SIGNIFICANT STRIKE DEFENCE 2,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 2,TAKE DOWN ACCURACY 2,TAKEDOWN DEFENSE 2,AVERAGE SUBMISSIONS 2,WIN/LOSS PERCENTAGE 2,WINS 2,LOSSES 2,DRAWS 2,NO CONTESTS 2,WINNER
Jordan Espinosa,66.0,125.0,69.0,Orthodox,35.0,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2,0.6,15.0,9.0,0.0,1.0,David Dvorak,65.0,125.0,68.0,Orthodox,32.0,3.48,0.43,3.29,0.59,0.58,0.3,0.7,0.2,0.769,20.0,6.0,0.0,0.0,0
Manvel Gamburyan,65.0,135.0,67.0,Orthodox,43.0,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7,0.577,15.0,10.0,0.0,1.0,Cody Gibson,70.0,135.0,71.0,Orthodox,37.0,4.75,0.45,4.73,0.55,1.35,0.35,0.64,0.3,0.69,20.0,9.0,0.0,0.0,1
Dooho Choi,70.0,145.0,70.0,Orthodox,33.0,4.74,0.53,4.91,0.54,0.29,0.2,0.5,0.0,0.737,14.0,4.0,1.0,0.0,Charles Jourdain,69.0,145.0,69.0,Switch,29.0,5.56,0.48,4.31,0.57,0.09,0.1,0.48,0.6,0.652,15.0,7.0,1.0,0.0,0
Anthony Hamilton,77.0,260.0,76.0,Orthodox,44.0,3.91,0.65,3.02,0.45,2.62,0.42,0.78,0.0,0.625,15.0,9.0,0.0,0.0,Adam Wieczorek,77.0,250.0,81.0,Orthodox,32.0,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4,0.833,10.0,2.0,0.0,0.0,0
Jon Jones,76.0,248.0,84.0,Orthodox,37.0,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5,0.931,27.0,1.0,0.0,1.0,Dominick Reyes,76.0,205.0,77.0,Southpaw,35.0,4.75,0.5,3.77,0.48,0.36,0.28,0.8,0.4,0.75,12.0,4.0,0.0,0.0,1
Stephen Thompson,72.0,170.0,75.0,Orthodox,41.0,4.11,0.46,3.03,0.54,0.26,0.41,0.65,0.0,0.68,17.0,7.0,1.0,0.0,Belal Muhammad,71.0,170.0,72.0,Orthodox,36.0,4.55,0.43,3.64,0.57,1.98,0.35,0.93,0.2,0.852,23.0,3.0,0.0,1.0,0
Nicholas Musoke,72.0,170.0,75.0,Orthodox,38.0,3.56,0.35,3.8,0.57,1.16,0.19,0.82,0.2,0.684,13.0,5.0,0.0,1.0,Albert Tumenov,71.0,170.0,73.0,Orthodox,33.0,3.76,0.42,3.34,0.58,0.2,0.2,0.75,0.0,0.818,18.0,4.0,0.0,0.0,0
Alexander Volkov,79.0,250.0,80.0,Orthodox,36.0,5.1,0.57,3.0,0.54,0.49,0.63,0.73,0.2,0.787,37.0,10.0,0.0,0.0,Greg Hardy,77.0,265.0,80.0,Orthodox,36.0,4.79,0.5,3.31,0.55,0.2,0.33,0.64,0.0,0.538,7.0,5.0,0.0,1.0,1
Tim Sylvia,80.0,265.0,80.0,Orthodox,48.0,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1,0.738,31.0,10.0,0.0,1.0,Brandon Vera,75.0,230.0,78.0,Orthodox,47.0,3.03,0.56,2.81,0.52,0.7,0.53,0.59,0.2,0.652,15.0,7.0,0.0,1.0,1
Steve Nelmark,72.0,240.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,2.0,1.0,0.0,0.0,Tai Bowden,71.0,230.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1
Melvin Guillard,69.0,155.0,71.0,Orthodox,41.0,2.96,0.4,1.85,0.66,1.3,0.63,0.61,0.2,0.582,32.0,18.0,2.0,3.0,Jamie Varner,68.0,155.0,71.0,Orthodox,40.0,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8,0.6,21.0,11.0,1.0,2.0,0
Mitch Clarke,70.0,155.0,73.0,Orthodox,39.0,2.35,0.34,3.27,0.47,0.64,0.15,0.5,0.4,0.688,11.0,5.0,0.0,0.0,Alex White,72.0,155.0,71.0,Southpaw,36.0,3.76,0.42,3.07,0.6,0.92,0.28,0.71,0.5,0.684,13.0,6.0,0.0,0.0,0
