FIGHTER 1,HEIGHT 1,WEIGHT 1,REACH 1,STANCE 1,DATE OF BIRTH 1,SIGNIFICANT STRIKES LANDED PER MINUTE 1,SIGNIFICANT STRIKING ACCURACY 1,SIGNIFICANT STRIKES ABSORBED PER MINUTE 1,SIGNIFICANT STRIKE DEFENCE 1,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 1,TAKE DOWN ACCURACY 1,TAKEDOWN DEFENSE 1,AVERAGE SUBMISSIONS 1,WIN/LOSS PERCENTAGE 1,WINS 1,LOSSES 1,DRAWS 1,NO CONTESTS 1,FIGHTER 2,HEIGHT 2,WEIGHT 2,REACH 2,STANCE 2,DATE OF BIRTH 2,SIGNIFICANT STRIKES LANDED PER MINUTE 2,SIGNIFICANT STRIKING ACCURACY 2,SIGNIFICANT STRIKES ABSORBED PER MINUTE 2,SIGNIFICANT STRIKE DEFENCE 2,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 2,TAKE DOWN ACCURACY 2,TAKEDOWN DEFENSE 2,AVERAGE SUBMISSIONS 2,WIN/LOSS PERCENTAGE 2,WINS 2,LOSSES 2,DRAWS 2,NO CONTESTS 2,WINNER
Roger Huerta,69.0,155.0,70.0,Orthodox,41.0,3.64,0.36,2.33,0.56,2.13,0.46,0.52,0.5,0.676,23.0,9.0,1.0,1.0,Clay Guida,67.0,155.0,70.0,Orthodox,43.0,2.64,0.33,3.01,0.61,3.13,0.36,0.67,0.6,0.644,38.0,21.0,0.0,0.0,1
Devin Clark,72.0,205.0,75.0,Orthodox,34.0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1,0.609,14.0,9.0,0.0,0.0,Azamat Murzakanov,70.0,205.0,71.0,Southpaw,35.0,4.57,0.57,3.12,0.57,0.75,0.16,0.83,0.0,1.0,13.0,0.0,0.0,0.0,0
Gian Villante,75.0,230.0,76.0,Orthodox,39.0,4.38,0.44,5.47,0.55,0.45,0.23,0.83,0.0,0.548,17.0,14.0,0.0,0.0,Saparbeg Safarov,73.0,185.0,78.0,Orthodox,38.0,4.03,0.48,2.96,0.47,2.52,0.41,0.33,0.0,0.75,9.0,3.0,0.0,0.0,1
Tj Grant,70.0,155.0,72.0,Orthodox,40.0,3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6,0.808,21.0,5.0,0.0,0.0,Johny Hendricks,69.0,185.0,69.0,Southpaw,41.0,3.49,0.45,3.99,0.53,3.83,0.46,0.63,0.3,0.692,18.0,8.0,0.0,0.0,0
Sean Spencer,70.0,170.0,74.0,Orthodox,37.0,4.24,0.32,4.02,0.6,0.14,0.33,0.68,0.0,0.667,12.0,6.0,0.0,0.0,Drew Dober,68.0,155.0,70.0,Southpaw,36.0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1,0.659,27.0,13.0,0.0,1.0,1
Brandon Davis,70.0,135.0,72.0,Orthodox,34.0,4.68,0.35,4.62,0.58,0.74,0.42,0.57,0.1,0.583,14.0,10.0,0.0,0.0,Randy Costa,69.0,135.0,73.0,Switch,30.0,6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0,0.6,6.0,4.0,0.0,0.0,1
Greg Hardy,77.0,265.0,80.0,Orthodox,36.0,4.79,0.5,3.31,0.55,0.2,0.33,0.64,0.0,0.538,7.0,5.0,0.0,1.0,Juan Adams,77.0,265.0,80.0,Orthodox,32.0,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,0.625,5.0,3.0,0.0,0.0,1
Michael Bisping,73.0,185.0,75.0,Orthodox,45.0,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0.769,30.0,9.0,0.0,0.0,Alan Belcher,74.0,185.0,75.0,Orthodox,40.0,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,0.692,18.0,8.0,0.0,0.0,1
Rogerio Bontorin,65.0,125.0,67.0,Orthodox,32.0,2.63,0.52,3.27,0.5,2.9,0.6,0.51,1.0,0.727,16.0,4.0,0.0,2.0,Kai Kara-france,64.0,125.0,69.0,Orthodox,31.0,4.57,0.39,3.24,0.65,0.63,0.33,0.88,0.0,0.667,24.0,11.0,0.0,1.0,0
Nassourdine Imavov,75.0,185.0,75.0,Orthodox,29.0,4.53,0.54,3.26,0.61,0.87,0.31,0.76,1.5,0.722,13.0,4.0,0.0,1.0,Ian Heinisch,71.0,185.0,72.0,Orthodox,36.0,3.25,0.5,2.98,0.59,1.02,0.17,0.59,0.7,0.737,14.0,5.0,0.0,0.0,1
Trey Ogden,71.0,155.0,72.0,Orthodox,35.0,3.64,0.47,4.02,0.58,1.29,0.16,1.0,0.8,0.696,16.0,6.0,0.0,1.0,Daniel Zellhuber,73.0,155.0,77.0,Switch,25.0,5.86,0.41,5.06,0.56,0.22,0.33,0.94,0.2,0.938,15.0,1.0,0.0,0.0,1
Forrest Petz,69.0,170.0,71.0,Orthodox,49.0,2.27,0.29,2.2,0.57,1.3,1.0,0.66,0.0,0.722,26.0,10.0,0.0,0.0,Luigi Fioravanti,68.0,170.0,70.0,Orthodox,43.0,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9,0.634,26.0,15.0,0.0,0.0,1
Frankie Edgar,66.0,135.0,68.0,Orthodox,43.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3,0.657,23.0,11.0,1.0,0.0,Charles Oliveira,70.0,155.0,74.0,Orthodox,35.0,3.54,0.53,3.19,0.51,2.32,0.4,0.55,2.7,0.773,34.0,9.0,0.0,1.0,1
Mike Pyle,72.0,170.0,74.0,Orthodox,49.0,2.74,0.45,2.84,0.6,1.8,0.35,0.7,1.5,0.643,27.0,14.0,1.0,0.0,Jesse Lennox,69.0,170.0,72.0,Orthodox,42.0,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3,0.778,14.0,4.0,0.0,0.0,1
Darren Till,72.0,185.0,74.0,Southpaw,32.0,2.3,0.46,3.31,0.56,0.55,0.46,0.69,0.0,0.75,18.0,5.0,1.0,0.0,Jorge Masvidal,71.0,170.0,74.0,Orthodox,40.0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3,0.673,35.0,17.0,0.0,0.0,0
Alan Jouban,72.0,170.0,73.0,Southpaw,43.0,5.67,0.5,3.77,0.6,0.51,0.44,0.58,0.3,0.708,17.0,7.0,0.0,0.0,Jared Gooden,72.0,170.0,77.0,Orthodox,31.0,5.08,0.49,6.68,0.48,0.67,1.0,0.65,0.2,0.719,23.0,9.0,0.0,0.0,1
Macy Chiasson,71.0,135.0,72.0,Orthodox,33.0,3.64,0.44,2.61,0.46,2.17,0.34,0.64,0.3,0.75,9.0,3.0,0.0,0.0,Shanna Young,67.0,125.0,65.0,Orthodox,33.0,3.18,0.47,4.88,0.43,0.0,0.0,0.53,0.6,0.6,9.0,6.0,0.0,0.0,1
Raquel Pennington,67.0,135.0,67.0,Orthodox,36.0,4.14,0.52,3.29,0.6,0.9,0.27,0.63,0.7,0.64,16.0,9.0,0.0,0.0,Macy Chiasson,71.0,135.0,72.0,Orthodox,33.0,3.64,0.44,2.61,0.46,2.17,0.34,0.64,0.3,0.75,9.0,3.0,0.0,0.0,1
Jim Miller,68.0,155.0,71.0,Southpaw,41.0,2.96,0.42,3.18,0.58,1.58,0.44,0.48,1.7,0.673,37.0,17.0,0.0,1.0,Erick Gonzalez,71.0,155.0,75.0,Orthodox,32.0,2.4,0.36,8.08,0.4,6.0,0.55,0.5,0.0,0.636,14.0,8.0,0.0,0.0,1
Andre Fili,71.0,145.0,74.0,Orthodox,34.0,3.85,0.37,4.11,0.51,2.16,0.47,0.69,0.3,0.657,23.0,11.0,0.0,1.0,Charles Jourdain,69.0,145.0,69.0,Switch,29.0,5.56,0.48,4.31,0.57,0.09,0.1,0.48,0.6,0.652,15.0,7.0,1.0,0.0,1
Dustin Poirier,69.0,155.0,72.0,Southpaw,35.0,5.49,0.5,4.3,0.53,1.36,0.36,0.63,1.2,0.763,29.0,8.0,0.0,1.0,Michael Johnson,70.0,155.0,73.0,Southpaw,38.0,4.27,0.39,3.83,0.57,0.62,0.41,0.81,0.0,0.548,23.0,19.0,0.0,0.0,0
Israel Adesanya,76.0,185.0,80.0,Switch,35.0,3.93,0.48,3.11,0.56,0.05,0.14,0.77,0.1,0.889,24.0,3.0,0.0,0.0,Paulo Costa,73.0,185.0,72.0,Orthodox,33.0,6.2,0.58,6.38,0.47,0.45,0.75,0.8,0.0,0.824,14.0,3.0,0.0,0.0,1
Jesse Bongfeldt,72.0,185.0,0.0,Orthodox,44.0,2.91,0.62,1.01,0.5,1.51,0.33,0.33,0.0,0.727,16.0,5.0,1.0,0.0,Chris Weidman,74.0,185.0,78.0,Orthodox,40.0,2.98,0.43,3.27,0.5,3.6,0.43,0.65,0.8,0.682,15.0,7.0,0.0,0.0,0
Diego Ferreira,69.0,155.0,74.0,Orthodox,39.0,4.66,0.37,3.42,0.56,0.71,0.22,0.63,0.7,0.783,18.0,5.0,0.0,0.0,Gregor Gillespie,67.0,155.0,71.0,Orthodox,38.0,3.74,0.52,2.3,0.57,6.86,0.48,1.0,0.8,0.933,14.0,1.0,0.0,0.0,0
Lina Lansberg,67.0,135.0,65.0,Orthodox,42.0,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1,0.556,10.0,8.0,0.0,0.0,Yana Santos,66.0,135.0,68.0,Orthodox,35.0,4.16,0.56,3.03,0.5,1.11,0.53,0.42,0.1,0.609,14.0,8.0,0.0,1.0,0
Al Iaquinta,70.0,155.0,70.0,Orthodox,37.0,4.06,0.4,4.53,0.61,0.63,0.18,0.74,0.2,0.636,14.0,7.0,1.0,0.0,Rodrigo Damm,67.0,155.0,71.0,Orthodox,44.0,3.5,0.36,5.61,0.57,0.44,0.16,0.8,0.3,0.591,13.0,9.0,0.0,0.0,1
Rony Jason,67.0,145.0,73.0,Orthodox,40.0,2.04,0.44,3.14,0.53,0.59,0.3,0.36,0.8,0.636,14.0,7.0,0.0,1.0,Jeremy Stephens,69.0,145.0,71.0,Orthodox,38.0,3.17,0.4,3.05,0.58,1.16,0.38,0.65,0.4,0.583,28.0,19.0,0.0,1.0,0
Keith Berish,72.0,205.0,0.0,Orthodox,39.0,3.58,0.36,4.81,0.62,1.76,0.4,0.0,0.0,0.714,5.0,1.0,0.0,1.0,Ryan Janes,75.0,185.0,76.0,Orthodox,43.0,7.69,0.48,5.53,0.59,0.35,1.0,0.58,0.0,0.769,10.0,3.0,0.0,0.0,0
Igor Araujo,73.0,170.0,77.0,Orthodox,44.0,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,0.714,25.0,9.0,0.0,1.0,George Sullivan,72.0,170.0,73.0,Orthodox,43.0,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7,0.68,17.0,7.0,0.0,1.0,0
Maurice Smith,74.0,221.0,0.0,Orthodox,63.0,0.41,0.46,0.47,0.6,0.89,0.5,0.2,0.9,0.462,12.0,14.0,0.0,0.0,Marco Ruas,73.0,210.0,0.0,Orthodox,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,9.0,4.0,2.0,0.0,1
Nicolae Negumereanu,72.0,205.0,78.0,Orthodox,30.0,3.58,0.41,5.56,0.39,1.02,0.28,0.62,0.0,0.867,13.0,2.0,0.0,0.0,Kennedy Nzechukwu,77.0,205.0,83.0,Southpaw,32.0,4.86,0.46,4.27,0.51,0.68,0.5,0.8,0.3,0.75,12.0,4.0,0.0,0.0,1
Lyman Good,72.0,170.0,74.0,Orthodox,39.0,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0,0.75,21.0,6.0,0.0,1.0,Chance Rencountre,74.0,170.0,75.0,Southpaw,38.0,1.1,0.2,3.62,0.49,1.35,0.26,0.16,0.3,0.778,14.0,4.0,0.0,0.0,1
Pat Miletich,70.0,170.0,0.0,Orthodox,56.0,1.79,0.45,1.66,0.63,1.96,1.0,0.54,1.0,0.763,29.0,7.0,2.0,0.0,Kenichi Yamamoto,72.0,170.0,0.0,Orthodox,48.0,0.3,0.46,1.93,0.38,0.0,0.0,0.1,0.3,0.263,5.0,12.0,2.0,0.0,1
David Teymur,69.0,155.0,73.0,Southpaw,35.0,4.69,0.43,3.53,0.55,0.94,0.33,0.77,0.0,0.8,8.0,2.0,0.0,0.0,Drakkar Klose,69.0,155.0,70.0,Orthodox,36.0,4.33,0.55,3.4,0.52,1.78,0.3,0.68,0.0,0.824,14.0,2.0,1.0,0.0,1
Leon Edwards,74.0,170.0,74.0,Southpaw,33.0,2.75,0.53,2.34,0.54,1.25,0.34,0.7,0.4,0.846,22.0,3.0,0.0,1.0,Dominic Waters,73.0,170.0,79.0,Orthodox,35.0,0.48,0.23,2.53,0.39,4.07,0.52,0.28,0.0,0.643,9.0,5.0,0.0,0.0,1
Nate Landwehr,69.0,145.0,72.0,Orthodox,36.0,6.14,0.46,5.58,0.55,1.07,0.41,0.86,1.1,0.773,17.0,5.0,0.0,0.0,Ludovit Klein,67.0,155.0,72.0,Southpaw,29.0,3.49,0.54,3.53,0.53,1.52,0.45,0.83,0.0,0.8,20.0,4.0,1.0,0.0,1
Santiago Ponzinibbio,72.0,170.0,73.0,Orthodox,38.0,4.9,0.41,4.67,0.61,0.48,0.3,0.6,0.0,0.811,30.0,7.0,0.0,0.0,Lorenz Larkin,71.0,170.0,72.0,Orthodox,38.0,3.53,0.46,2.74,0.63,0.27,0.42,0.79,0.1,0.72,18.0,6.0,0.0,1.0,0
Anthony Pettis,70.0,155.0,72.0,Orthodox,37.0,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1,0.706,24.0,10.0,0.0,0.0,Joe Lauzon,70.0,155.0,71.0,Orthodox,40.0,2.84,0.39,5.39,0.54,2.39,0.45,0.54,2.0,0.636,28.0,16.0,0.0,0.0,1
Kevin Lee,69.0,170.0,77.0,Orthodox,32.0,3.88,0.42,3.6,0.5,3.18,0.43,0.75,0.8,0.692,18.0,8.0,0.0,0.0,Al Iaquinta,70.0,155.0,70.0,Orthodox,37.0,4.06,0.4,4.53,0.61,0.63,0.18,0.74,0.2,0.636,14.0,7.0,1.0,0.0,0
Ikuhisa Minowa,69.0,181.0,0.0,Orthodox,48.0,0.88,0.4,1.66,0.49,1.82,0.41,0.05,1.9,0.545,60.0,42.0,8.0,0.0,Joe Slick,72.0,199.0,0.0,Orthodox,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,16.0,5.0,3.0,0.0,1
Dong Hyun Kim,74.0,170.0,76.0,Southpaw,43.0,2.12,0.49,1.89,0.58,2.93,0.43,0.71,0.6,0.786,22.0,4.0,1.0,1.0,Jason Tan,70.0,170.0,0.0,Orthodox,43.0,0.69,0.29,7.37,0.18,0.0,0.0,0.0,0.0,0.625,5.0,3.0,0.0,0.0,1
Ismael Bonfim,68.0,155.0,71.0,Orthodox,29.0,4.91,0.57,2.66,0.76,1.11,0.28,0.81,0.0,0.826,19.0,4.0,0.0,0.0,Benoit Saint Denis,71.0,155.0,73.0,Southpaw,29.0,5.53,0.52,5.2,0.44,4.55,0.36,0.66,1.4,0.867,13.0,1.0,0.0,1.0,0
Melvin Guillard,69.0,155.0,71.0,Orthodox,41.0,2.96,0.4,1.85,0.66,1.3,0.63,0.61,0.2,0.582,32.0,18.0,2.0,3.0,Fabricio Camoes,70.0,155.0,71.0,Orthodox,46.0,1.29,0.33,1.85,0.61,2.34,0.32,0.2,1.5,0.583,14.0,9.0,1.0,0.0,1
Jim Miller,68.0,155.0,71.0,Southpaw,41.0,2.96,0.42,3.18,0.58,1.58,0.44,0.48,1.7,0.673,37.0,17.0,0.0,1.0,Joe Lauzon,70.0,155.0,71.0,Orthodox,40.0,2.84,0.39,5.39,0.54,2.39,0.45,0.54,2.0,0.636,28.0,16.0,0.0,0.0,1
Dongi Yang,70.0,185.0,73.0,Southpaw,40.0,3.55,0.51,3.21,0.63,1.7,0.41,0.61,0.5,0.812,13.0,3.0,0.0,0.0,Jake Collier,75.0,230.0,78.0,Orthodox,36.0,5.8,0.44,5.08,0.5,0.71,0.33,0.67,0.6,0.565,13.0,10.0,0.0,0.0,1
Kiichi Kunimoto,70.0,170.0,71.0,Orthodox,43.0,1.87,0.44,3.92,0.41,1.59,0.2,0.28,0.3,0.643,18.0,7.0,2.0,1.0,Luiz Dutra,71.0,170.0,0.0,Orthodox,42.0,3.92,0.5,4.8,0.41,0.0,0.0,1.0,0.0,0.65,13.0,6.0,1.0,0.0,1
Dustin Jacoby,75.0,205.0,76.0,Orthodox,36.0,5.53,0.47,4.07,0.57,0.36,0.25,0.6,0.0,0.679,19.0,8.0,1.0,0.0,Justin Ledet,76.0,205.0,80.0,Orthodox,36.0,3.35,0.39,4.82,0.49,0.23,0.5,0.42,0.2,0.643,9.0,4.0,0.0,1.0,1
Takeya Mizugaki,67.0,135.0,69.0,Orthodox,41.0,3.37,0.37,3.27,0.57,1.46,0.57,0.7,0.1,0.618,21.0,11.0,2.0,0.0,Reuben Duran,67.0,135.0,71.0,Orthodox,41.0,3.19,0.49,2.61,0.5,0.98,0.23,0.25,0.7,0.579,11.0,7.0,1.0,0.0,1
Albert Morales,69.0,135.0,72.0,Orthodox,33.0,3.81,0.35,3.96,0.56,0.91,0.35,0.7,0.2,0.583,7.0,4.0,1.0,0.0,Andre Soukhamthath,69.0,135.0,70.0,Orthodox,36.0,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2,0.619,13.0,8.0,0.0,0.0,1
Marlon Vera,68.0,135.0,70.0,Switch,32.0,4.37,0.5,5.16,0.51,0.58,0.39,0.7,0.9,0.7,21.0,8.0,1.0,0.0,Pedro Munhoz,66.0,135.0,65.0,Orthodox,38.0,5.45,0.43,6.14,0.56,0.47,0.19,0.82,0.5,0.667,20.0,8.0,0.0,2.0,1
Vince Cachero,66.0,145.0,68.0,Orthodox,35.0,3.29,0.45,6.51,0.43,0.0,0.0,0.18,0.5,0.636,7.0,4.0,0.0,0.0,Ronnie Lawrence,68.0,135.0,68.0,Switch,32.0,2.78,0.56,1.75,0.52,6.75,0.77,0.45,0.2,0.727,8.0,2.0,0.0,1.0,0
Martin Kampmann,72.0,170.0,72.0,Orthodox,42.0,3.22,0.42,3.28,0.62,1.86,0.41,0.78,2.0,0.741,20.0,7.0,0.0,0.0,Jorge Rivera,73.0,185.0,73.0,Orthodox,52.0,3.16,0.48,2.64,0.54,0.84,0.5,0.63,0.1,0.69,20.0,9.0,0.0,0.0,1
Jorge Santiago,73.0,170.0,75.0,Orthodox,44.0,1.69,0.35,2.62,0.56,0.58,0.3,0.52,0.8,0.676,25.0,12.0,0.0,0.0,Justin Levens,71.0,185.0,0.0,Orthodox,44.0,1.24,0.47,3.15,0.37,1.69,0.5,0.33,5.1,0.588,10.0,7.0,0.0,0.0,1
Ashley Yoder,67.0,115.0,69.0,Southpaw,37.0,3.42,0.39,4.13,0.47,1.09,0.27,0.66,0.6,0.471,8.0,9.0,0.0,0.0,Amanda Cooper,63.0,115.0,64.0,Switch,33.0,3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8,0.375,3.0,5.0,0.0,0.0,1
Jordan Espinosa,66.0,125.0,69.0,Orthodox,35.0,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2,0.6,15.0,9.0,0.0,1.0,Alex Perez,66.0,125.0,65.0,Orthodox,32.0,4.67,0.48,3.14,0.6,2.84,0.44,0.77,1.3,0.774,24.0,7.0,0.0,0.0,0
Cain Velasquez,73.0,240.0,77.0,Orthodox,42.0,6.37,0.57,2.33,0.57,5.13,0.45,0.85,0.4,0.824,14.0,3.0,0.0,0.0,Junior Dos Santos,76.0,238.0,77.0,Orthodox,40.0,4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1,0.7,21.0,9.0,0.0,0.0,1
Chase Hooper,73.0,155.0,74.0,Southpaw,25.0,4.86,0.51,3.59,0.36,1.42,0.22,0.55,2.2,0.765,13.0,3.0,1.0,0.0,Nick Fiore,70.0,155.0,72.0,Orthodox,27.0,2.83,0.46,7.93,0.42,2.5,0.45,0.71,0.0,0.75,6.0,2.0,0.0,0.0,1
Tim Means,74.0,170.0,75.0,Orthodox,40.0,5.1,0.49,3.65,0.6,1.16,0.42,0.65,0.2,0.66,33.0,15.0,1.0,1.0,Nicolas Dalby,71.0,170.0,74.0,Orthodox,40.0,4.03,0.43,3.43,0.52,1.11,0.3,0.6,0.1,0.767,23.0,4.0,1.0,2.0,1
Nikolas Motta,69.0,155.0,70.0,Orthodox,31.0,3.08,0.33,4.78,0.51,0.0,0.0,0.82,0.0,0.7,14.0,5.0,0.0,1.0,Tom Nolan,75.0,155.0,73.0,Southpaw,24.0,10.27,0.56,9.45,0.47,0.0,0.0,0.0,0.0,0.857,6.0,1.0,0.0,0.0,1
Curtis Millender,74.0,170.0,76.0,Orthodox,37.0,3.86,0.46,2.95,0.61,0.43,1.0,0.57,0.0,0.773,17.0,5.0,0.0,0.0,Siyar Bahadurzada,71.0,170.0,73.0,Orthodox,40.0,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,0.727,24.0,8.0,1.0,0.0,1
Israel Adesanya,76.0,185.0,80.0,Switch,35.0,3.93,0.48,3.11,0.56,0.05,0.14,0.77,0.1,0.889,24.0,3.0,0.0,0.0,Alex Pereira,76.0,205.0,79.0,Orthodox,37.0,5.0,0.62,3.65,0.5,0.19,1.0,0.7,0.4,0.818,9.0,2.0,0.0,0.0,0
Darrick Minner,67.0,145.0,69.0,Orthodox,34.0,2.63,0.65,2.28,0.35,2.4,0.72,0.66,2.7,0.65,26.0,14.0,0.0,0.0,Tj Laramie,66.0,145.0,66.0,Orthodox,27.0,1.49,0.5,2.64,0.38,1.44,0.33,0.4,0.0,0.706,12.0,5.0,0.0,0.0,1
Kevin Burns,70.0,170.0,74.0,Orthodox,44.0,2.74,0.38,4.3,0.52,0.28,0.5,0.47,0.8,0.632,12.0,7.0,0.0,0.0,Roan Carneiro,71.0,170.0,76.0,Orthodox,46.0,1.46,0.46,1.82,0.62,3.05,0.42,0.83,1.4,0.656,21.0,11.0,0.0,0.0,1
Stefan Struve,83.0,265.0,84.0,Orthodox,36.0,3.12,0.47,4.04,0.46,0.56,0.46,0.55,1.7,0.717,33.0,13.0,0.0,0.0,Jared Rosholt,74.0,265.0,75.0,Orthodox,38.0,2.08,0.46,1.52,0.59,1.83,0.41,0.66,0.1,0.778,14.0,4.0,0.0,0.0,0
Raphael Assuncao,65.0,135.0,66.0,Orthodox,42.0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,0.737,28.0,10.0,0.0,0.0,Issei Tamura,65.0,135.0,63.0,Orthodox,40.0,1.89,0.53,4.58,0.44,0.92,0.25,0.33,0.0,0.556,10.0,8.0,0.0,0.0,1
Derrick Lewis,75.0,260.0,79.0,Orthodox,39.0,2.43,0.5,2.48,0.4,0.53,0.26,0.53,0.0,0.675,27.0,12.0,0.0,1.0,Alexander Volkov,79.0,250.0,80.0,Orthodox,36.0,5.1,0.57,3.0,0.54,0.49,0.63,0.73,0.2,0.787,37.0,10.0,0.0,0.0,1
Luke Cummo,72.0,170.0,74.0,Orthodox,44.0,1.74,0.43,1.5,0.59,0.89,0.55,0.42,1.4,0.5,6.0,6.0,0.0,0.0,Edilberto De Oliveira,72.0,170.0,0.0,Orthodox,42.0,4.12,0.32,6.79,0.61,0.0,0.0,0.0,0.0,0.63,29.0,15.0,2.0,0.0,1
Keith Wisniewski,72.0,170.0,0.0,Orthodox,43.0,2.32,0.52,4.86,0.42,1.57,0.4,0.78,0.3,0.636,28.0,15.0,1.0,0.0,Ivan Jorge,69.0,155.0,73.0,Orthodox,44.0,3.41,0.49,2.91,0.59,1.56,0.16,0.75,0.6,0.794,27.0,7.0,0.0,0.0,0
Zhang Lipeng,71.0,155.0,71.0,Southpaw,34.0,1.28,0.48,1.88,0.53,1.75,0.3,0.69,0.8,0.697,23.0,9.0,1.0,0.0,Brendan O'reilly,67.0,170.0,69.0,Orthodox,37.0,1.9,0.47,2.77,0.39,2.22,0.43,0.36,0.6,0.6,6.0,3.0,0.0,1.0,1
Alexandre Pantoja,65.0,125.0,67.0,Orthodox,34.0,4.32,0.49,3.9,0.5,2.2,0.48,0.67,1.0,0.844,27.0,5.0,0.0,0.0,Deiveson Figueiredo,65.0,135.0,68.0,Orthodox,37.0,3.08,0.55,3.46,0.51,1.65,0.44,0.58,1.6,0.846,22.0,3.0,1.0,0.0,0
Josiane Nunes,62.0,135.0,67.0,Southpaw,31.0,7.22,0.44,5.85,0.52,0.0,0.0,0.7,0.0,0.909,10.0,1.0,0.0,0.0,Zarah Fairn,68.0,135.0,72.0,Orthodox,41.0,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0,0.5,6.0,6.0,0.0,0.0,1
Matt Brown,72.0,170.0,75.0,Orthodox,43.0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3,0.578,26.0,19.0,0.0,0.0,John Howard,67.0,170.0,72.0,Orthodox,41.0,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,0.649,24.0,13.0,0.0,0.0,1
Ben Rothwell,76.0,265.0,78.0,Orthodox,43.0,3.71,0.42,4.63,0.47,0.68,0.34,0.7,0.4,0.736,39.0,14.0,0.0,0.0,Junior Dos Santos,76.0,238.0,77.0,Orthodox,40.0,4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1,0.7,21.0,9.0,0.0,0.0,0
Benson Henderson,69.0,170.0,70.0,Southpaw,41.0,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,0.774,24.0,7.0,0.0,0.0,Josh Thomson,70.0,155.0,71.0,Orthodox,46.0,2.59,0.47,2.12,0.64,1.92,0.39,0.54,1.3,0.688,22.0,9.0,0.0,1.0,1
Tim Elliott,67.0,125.0,66.0,Southpaw,38.0,3.39,0.44,2.66,0.56,3.73,0.47,0.59,1.0,0.6,21.0,13.0,1.0,0.0,Matheus Nicolau,66.0,125.0,66.0,Orthodox,31.0,3.66,0.53,3.14,0.66,1.48,0.45,0.93,0.9,0.792,19.0,4.0,1.0,0.0,0
Shawn Jordan,72.0,260.0,75.0,Southpaw,40.0,2.87,0.5,3.3,0.47,1.97,0.38,0.76,0.1,0.704,19.0,8.0,0.0,0.0,Derrick Lewis,75.0,260.0,79.0,Orthodox,39.0,2.43,0.5,2.48,0.4,0.53,0.26,0.53,0.0,0.675,27.0,12.0,0.0,1.0,1
Josh Emmett,66.0,145.0,70.0,Orthodox,39.0,4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1,0.826,19.0,4.0,0.0,0.0,Scott Holtzman,69.0,155.0,69.0,Orthodox,41.0,4.32,0.47,3.66,0.55,1.88,0.56,0.67,0.2,0.7,14.0,6.0,0.0,0.0,1
Ben Rothwell,76.0,265.0,78.0,Orthodox,43.0,3.71,0.42,4.63,0.47,0.68,0.34,0.7,0.4,0.736,39.0,14.0,0.0,0.0,Matt Mitrione,75.0,265.0,82.0,Switch,46.0,3.55,0.5,2.79,0.64,0.0,0.0,0.55,0.7,0.706,12.0,5.0,0.0,0.0,1
Michael Bisping,73.0,185.0,75.0,Orthodox,45.0,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0.769,30.0,9.0,0.0,0.0,Georges St-pierre,71.0,185.0,76.0,Orthodox,43.0,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1,0.929,26.0,2.0,0.0,0.0,0
Jack Hermansson,73.0,185.0,77.0,Orthodox,36.0,5.09,0.44,3.69,0.56,1.53,0.3,0.8,0.4,0.75,24.0,8.0,0.0,0.0,Marvin Vettori,72.0,185.0,74.0,Southpaw,31.0,4.56,0.45,4.24,0.56,1.66,0.45,0.69,0.5,0.704,19.0,7.0,1.0,0.0,0
